invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-061415,Aecon Utilities (US) Ltd.,2025-05-25,146.0,146.0,sent,N/A,GoFleet Corporation
INV-061414,McCrea's ClimateCare,2025-05-25,67.8,0.0,paid,N/A,GoFleet Corporation
INV-061413,PRO TILE (USD),2025-05-25,93.66,0.0,paid,N/A,GoFleet Corporation
INV-061412,Pacific Electrical Installations Ltd,2025-05-25,1187.2,1187.2,sent,N/A,GoFleet Corporation
INV-061411,C+ Rodeos,2025-05-25,24.7,0.0,paid,N/A,GoFleet Corporation
INV-061410,WMF Trucking LTD,2025-05-25,1169.55,1169.55,sent,N/A,GoFleet Corporation
INV-061409,Xtreme Transport Inc,2025-05-25,30.0,0.0,paid,N/A,GoFleet Corporation
INV-061408,The Car Shoppe,2025-05-25,23.69,0.0,paid,N/A,GoFleet Corporation
INV-061407,Ballance Design,2025-05-25,20.06,0.0,paid,N/A,GoFleet Corporation
INV-061406,Mason county public works,2025-05-25,1842.05,1842.05,sent,N/A,GoFleet Corporation
INV-061405,Trinity Services Group Inc,2025-05-25,678.0,678.0,sent,N/A,GoFleet Corporation
INV-061404,DECIEM,2025-05-25,90.01,90.01,sent,N/A,GoFleet Corporation
INV-061403,CT Enterprises,2025-05-25,259.65,0.0,paid,N/A,GoFleet Corporation
INV-061402,STARSKY Fine Foods,2025-05-25,300.58,300.58,sent,N/A,GoFleet Corporation
INV-061401,"MSA Transport Solutions, Inc.",2025-05-25,224.28,0.0,paid,N/A,GoFleet Corporation
INV-061400,Precision Heating Cooling & Refrigeration (PHCRINC),2025-05-25,208.73,0.0,paid,N/A,GoFleet Corporation
INV-061399,"Maroon Group, LLC",2025-05-25,187.9,187.9,sent,N/A,GoFleet Corporation
INV-061398,JAW Logistics Corp,2025-05-25,29.85,29.85,sent,N/A,GoFleet Corporation
INV-061397,CP Vegetable Oil,2025-05-25,361.15,361.15,sent,N/A,GoFleet Corporation
INV-061396,The Exterminators Inc,2025-05-25,588.54,0.0,paid,N/A,GoFleet Corporation
INV-061395,Leggat Chevrolet Cadillac Buick GMC,2025-05-25,230.8,0.0,paid,N/A,GoFleet Corporation
INV-061394,Dotmar Fitness Equipment Inc,2025-05-25,272.9,272.9,sent,N/A,GoFleet Corporation
INV-061393,Link-On Communications,2025-05-25,2747.03,2747.03,sent,N/A,GoFleet Corporation
INV-061392,Evergreen Herbs Ltd,2025-05-25,313.21,313.21,sent,N/A,GoFleet Corporation
INV-061391,VAC Developments Ltd,2025-05-25,38.99,0.0,paid,N/A,GoFleet Corporation
INV-061390,Direct Flow Inc,2025-05-25,28.84,0.0,paid,N/A,GoFleet Corporation
INV-061389,Inertia Hydrovac,2025-05-25,997.5,997.5,sent,N/A,GoFleet Corporation
INV-061388,Angela Fatigati,2025-05-25,66.93,0.0,paid,N/A,GoFleet Corporation
INV-061387,Livingston Transportation Inc.,2025-05-25,3011.0,3011.0,sent,N/A,GoFleet Corporation
INV-061386,BC Egg Marketing Board,2025-05-25,55.89,55.89,sent,N/A,GoFleet Corporation
INV-061385,VNH Enterprises,2025-04-24,13044.5,13044.5,draft,N/A,GoFleet Corporation
INV-061384,Papenfuss Trucking,2025-05-24,165.0,0.0,paid,N/A,GoFleet Corporation
INV-061383,Electrical Contracting,2025-05-24,238.88,0.0,paid,N/A,GoFleet Corporation
INV-061382,AC Transport,2025-04-24,180.8,180.8,overdue,N/A,GoFleet Corporation
INV-061381,HDATP: Bumper to Bumper - Uxbridge,2025-05-24,813.6,813.6,sent,N/A,GoFleet Corporation
INV-061380,Transervice Logistics Inc.,2025-05-24,5274.0,5274.0,sent,N/A,GoFleet Corporation
INV-061379,PG Parks,2025-05-24,3075.0,3075.0,sent,N/A,GoFleet Corporation
INV-061378,Sound Barriers,2025-05-24,103.86,103.86,sent,N/A,GoFleet Corporation
INV-061377,"AICS, a div of Aecon Construction Group Inc",2025-05-24,58.76,58.76,sent,N/A,GoFleet Corporation
INV-061376,Brentwood Livery,2025-04-24,29.38,0.0,paid,N/A,GoFleet Corporation
INV-061375,Uni-Recycle Inc.,2025-05-24,160.97,160.97,sent,N/A,GoFleet Corporation
INV-061374,Sajid Transport Ltd.,2025-05-24,25.99,25.99,sent,N/A,GoFleet Corporation
INV-061373,Dream Summit Industrial Management Corp,2025-05-24,225.89,225.89,sent,N/A,GoFleet Corporation
INV-061372,South Simco Landscape Construction,2025-05-24,103.86,0.0,paid,N/A,GoFleet Corporation
INV-061371,Baca Freight,2025-05-24,30.0,0.0,paid,N/A,GoFleet Corporation
INV-061370,Aoyee Royal International Travel,2025-05-24,26.54,0.0,paid,N/A,GoFleet Corporation
INV-061369,Moore Trucking,2025-05-24,229.88,229.88,sent,N/A,GoFleet Corporation
INV-061368,Terre De La Prairies Farms Inc,2025-05-24,132.71,0.0,paid,N/A,GoFleet Corporation
INV-061367,Owens Elite trucking llc,2025-05-24,20.6,20.6,sent,N/A,GoFleet Corporation
INV-061366,Select Premium Foods,2025-05-24,26.54,0.0,paid,N/A,GoFleet Corporation
INV-061365,Triple Braided Cord Transport LLC,2025-05-24,25.75,0.0,paid,N/A,GoFleet Corporation
INV-061364,M&M Logistics/Hotshot LLC,2025-05-24,47.38,0.0,paid,N/A,GoFleet Corporation
INV-061363,Donnie Betts & Son,2025-05-24,36.05,0.0,paid,N/A,GoFleet Corporation
INV-061362,Skyline Eco-Adventures LLC,2025-05-24,584.06,0.0,paid,N/A,GoFleet Corporation
INV-061361,Eatran,2025-05-24,695.25,695.25,sent,N/A,GoFleet Corporation
INV-061360,NMPHC,2025-05-24,273.45,273.45,sent,N/A,GoFleet Corporation
INV-061359,Bee Clean Building Maintenance- Manitoba,2025-05-24,945.53,945.53,sent,N/A,GoFleet Corporation
INV-061358,AG James Electrical,2025-05-24,119.44,0.0,paid,N/A,GoFleet Corporation
INV-061357,The County of Huron Public Works Department,2025-05-24,2357.18,2357.18,sent,N/A,GoFleet Corporation
INV-061356,Bee Clean Building Maintenance- Thunder Bay,2025-05-24,276.85,276.85,sent,N/A,GoFleet Corporation
INV-061355,Bee Clean Building Maintenance- London,2025-05-24,474.6,474.6,sent,N/A,GoFleet Corporation
INV-061354,Bee Clean Building Maintenance- Saskatchewan,2025-05-24,543.9,543.9,sent,N/A,GoFleet Corporation
INV-061353,Westmorland Fisheries Ltd.,2025-05-24,169.06,0.0,paid,N/A,GoFleet Corporation
INV-061352,Cascades Holding US Inc,2025-05-23,3082.4,3082.4,sent,N/A,GoFleet Corporation
INV-061351,Cascades Canada ULC,2025-05-23,8429.9,8429.9,sent,N/A,GoFleet Corporation
INV-061350,GMH Fleet Services Inc,2025-05-23,0.76,0.76,draft,N/A,GoFleet Corporation
INV-061349,F W Transport,2025-05-23,0.38,0.38,sent,N/A,GoFleet Corporation
INV-061348,Canadian Craft Tours ltd,2025-05-23,445.0,445.0,sent,N/A,GoFleet Corporation
INV-061347,Blaine Brothers,2025-05-23,550.0,0.0,paid,N/A,GoFleet Corporation
INV-061346,SMC Towing Group,2025-05-23,525.45,0.0,paid,N/A,GoFleet Corporation
INV-061345,Stidham Reconstruction & Investigation. LLC,2025-05-23,515.0,515.0,sent,N/A,GoFleet Corporation
INV-061344,Advanced Fleet GPS,2025-04-23,1457.7,1457.7,overdue,N/A,GoFleet Corporation
INV-061343,Miller Waste Systems,2025-05-23,235.04,235.04,sent,N/A,GoFleet Corporation
INV-061342,Miller Waste Systems,2025-05-23,209.05,209.05,sent,N/A,GoFleet Corporation
INV-061341,Canadian Kraft Paper Industries Ltd.,2025-05-23,44.8,0.0,paid,N/A,GoFleet Corporation
INV-061340,Aquarion Water Company of Connecticut,2025-05-23,587.0,587.0,sent,N/A,GoFleet Corporation
INV-061339,Columbus Consolidated Government,2025-05-23,475.0,475.0,sent,N/A,GoFleet Corporation
INV-058815_,Upper Canada Forestry,2025-03-31,202.27,0.0,paid,N/A,GoFleet Corporation
INV-058856_,Upper Canada Forestry,2025-03-31,437.31,0.0,paid,N/A,GoFleet Corporation
INV-059308_,Upper Canada Forestry,2025-03-31,190.97,0.0,paid,N/A,GoFleet Corporation
INV-061338,Righteous Expediting LLC,2025-05-23,21.0,0.0,paid,N/A,GoFleet Corporation
INV-061337,Rebar Delta Inc.,2025-05-23,33.9,0.0,paid,N/A,GoFleet Corporation
INV-061336,FIRST HOME HEALTHCARE,2025-05-23,36.0,0.0,paid,N/A,GoFleet Corporation
INV-061335,Lindsay Beer Equestrian,2025-05-23,30.51,30.51,sent,N/A,GoFleet Corporation
INV-061334,All Florida Rides LLC,2025-05-23,25.75,0.0,paid,N/A,GoFleet Corporation
INV-061333,Zingo Transport,2025-05-23,23.69,0.0,paid,N/A,GoFleet Corporation
INV-061332,Bracebridge Propane,2025-05-23,1491.6,1491.6,sent,N/A,GoFleet Corporation
INV-061331,Billings Construction,2025-05-23,54.24,0.0,paid,N/A,GoFleet Corporation
INV-061330,R 7 Transport,2025-05-23,36.93,0.0,paid,N/A,GoFleet Corporation
INV-061329,A-1 Environmental Services,2025-05-23,683.66,683.66,sent,N/A,GoFleet Corporation
INV-061328,TECON FARM STRUCTURES,2025-04-23,169.5,169.5,overdue,N/A,GoFleet Corporation
INV-061327,Fitzsimmons Hospital Services,2025-05-23,2421.53,0.0,paid,N/A,GoFleet Corporation
INV-061326,Security Dynamics Corp.,2025-05-23,1566.63,0.0,paid,N/A,GoFleet Corporation
INV-061325,Bracebridge Propane,2025-05-23,3678.15,3678.15,sent,N/A,GoFleet Corporation
INV-061324,Trash Inc,2025-05-23,105.93,105.93,sent,N/A,GoFleet Corporation
INV-061323,Downtown Pallets,2025-04-23,203.4,203.4,overdue,N/A,GoFleet Corporation
INV-061322,Canadian Kraft Paper Industries Ltd.,2025-05-23,2155.65,2155.65,sent,N/A,GoFleet Corporation
INV-061321,Sun N Fun Pools & Spas,2025-05-23,0.0,0.0,paid,N/A,GoFleet Corporation
INV-061320,CR&R Waste,2025-05-22,1956.0,1956.0,sent,N/A,GoFleet Corporation
INV-061319,Canadian Miles,2025-05-22,30.0,0.0,paid,N/A,GoFleet Corporation
INV-061318,TRS TRANSPORTATION LLC,2025-05-22,25.0,25.0,sent,N/A,GoFleet Corporation
INV-061317,Speedy Trucks LLC,2025-05-22,42.0,42.0,sent,N/A,GoFleet Corporation
INV-061316,Allied freight,2025-05-22,71.07,0.0,paid,N/A,GoFleet Corporation
INV-061315,Exploits Valley Paving LTD,2025-05-22,185.79,0.0,paid,N/A,GoFleet Corporation
INV-061314,Omistaa Logistics (12231671 Canada Limited),2025-05-22,59.8,0.0,paid,N/A,GoFleet Corporation
INV-061313,Point Contracting Inc.,2025-04-22,25.99,0.0,paid,N/A,GoFleet Corporation
INV-061312,Magab Trucking,2025-04-22,28.85,0.0,paid,N/A,GoFleet Corporation
INV-061311,Roof Tile Management,2025-05-22,791.0,791.0,sent,N/A,GoFleet Corporation
INV-061310,Allen And Son LLC,2025-05-22,23.69,0.0,paid,N/A,GoFleet Corporation
INV-061309,BRANDODN HAN,2025-05-22,23.69,0.0,paid,N/A,GoFleet Corporation
INV-061308,Syntac Food Supply Chain,2025-05-22,207.72,0.0,paid,N/A,GoFleet Corporation
INV-061307,Tim’s Enterprise,2025-05-22,25.78,0.0,paid,N/A,GoFleet Corporation
INV-061306,CanWing Travel LTD,2025-05-22,124.3,124.3,sent,N/A,GoFleet Corporation
INV-061305,F W Transport,2025-05-22,23.69,23.69,sent,N/A,GoFleet Corporation
INV-061304,"Winter Farm Services, LLC",2025-05-22,22.65,0.0,paid,N/A,GoFleet Corporation
INV-061303,Crush on Niagara Wine Tours,2025-05-22,121.17,0.0,paid,N/A,GoFleet Corporation
INV-061302,STS Canada,2025-05-22,338.64,0.0,paid,N/A,GoFleet Corporation
INV-061301,Prestige Carpet & Duct Cleaning,2025-05-22,406.21,0.0,paid,N/A,GoFleet Corporation
INV-061300,Dom Amodeo Produce Ltd,2025-05-22,377.31,377.31,sent,N/A,GoFleet Corporation
INV-061299,Goodlettsville Police Dept,2025-05-22,860.0,860.0,sent,N/A,GoFleet Corporation
INV-061298,"Ciferno Cement Contracting, LLC",2025-05-22,2306.05,0.0,paid,N/A,GoFleet Corporation
INV-061297,Poblocki Paving Corp,2025-05-22,8517.1,0.0,paid,N/A,GoFleet Corporation
INV-061296,Medieval Times,2025-05-22,79.1,0.0,paid,N/A,GoFleet Corporation
INV-061295,Durham Catholic District School Board,2025-05-22,507.65,507.65,sent,N/A,GoFleet Corporation
INV-061294,Synapse Electric Ltd,2025-05-22,242.34,0.0,paid,N/A,GoFleet Corporation
INV-061293,The Tire Terminal,2025-05-22,601.64,0.0,paid,N/A,GoFleet Corporation
INV-061292,"JENOPTIK Smart Mobility Solutions, LLC",2025-05-22,819.14,819.14,sent,N/A,GoFleet Corporation
INV-061291,Tolko Industries - Southern Interior (SIW),2025-05-22,1140.5,1140.5,sent,N/A,GoFleet Corporation
INV-061290,Scugog Island First Nation,2025-05-22,833.19,0.0,paid,N/A,GoFleet Corporation
INV-061289,Atlantic Alarm & Sound Ltd.,2025-05-22,316.25,316.25,sent,N/A,GoFleet Corporation
INV-061288,Speedy Transport Group Inc.,2025-05-21,206.79,206.79,sent,N/A,GoFleet Corporation
INV-061287,Cascades Canada ULC,2025-05-21,320.07,320.07,sent,N/A,GoFleet Corporation
INV-061286,Cascades Canada ULC,2025-05-21,566.06,566.06,sent,N/A,GoFleet Corporation
INV-061285,Cascades Canada ULC,2025-05-21,689.0,689.0,sent,N/A,GoFleet Corporation
INV-061284,Cascades Canada ULC,2025-05-21,372.28,372.28,sent,N/A,GoFleet Corporation
INV-061283,1000140544 Ontario limited,2025-05-21,40.39,0.0,paid,N/A,GoFleet Corporation
INV-061282,13575896 Canada Inc.,2025-05-21,131.57,0.0,paid,N/A,GoFleet Corporation
INV-061281,Happy Fleet Transport LLC,2025-05-21,23.0,0.0,paid,N/A,GoFleet Corporation
INV-061280,Hearts Foundation Inc.,2025-05-21,66.95,0.0,paid,N/A,GoFleet Corporation
INV-061279,The Cadillac Ranch,2025-05-21,13.0,0.0,paid,N/A,GoFleet Corporation
INV-061278,Fingal Farm Supply,2025-05-21,367.25,367.25,sent,N/A,GoFleet Corporation
INV-061277,Load Queen Services,2025-05-21,81.36,0.0,paid,N/A,GoFleet Corporation
INV-061276,West Coast Commodities,2025-05-21,253.88,0.0,paid,N/A,GoFleet Corporation
INV-061275,Invincible Garage,2025-05-21,93.8,0.0,paid,N/A,GoFleet Corporation
INV-061274,MCGC Inc.,2025-05-21,36.05,0.0,paid,N/A,GoFleet Corporation
INV-061273,Tolko Industries - High Level Woodlands (HLW),2025-05-21,9691.4,9691.4,sent,N/A,GoFleet Corporation
INV-061272,Clarke Roller Rubber Ltd.,2025-05-21,40.39,0.0,paid,N/A,GoFleet Corporation
INV-061271,DIGGIN 4 U,2025-05-21,492.18,0.0,paid,N/A,GoFleet Corporation
INV-061270,Premier Coach,2025-05-21,242.34,0.0,paid,N/A,GoFleet Corporation
INV-061269,JB Sales Ltd.,2025-05-21,35.46,0.0,paid,N/A,GoFleet Corporation
INV-061268,Greater Toronto Fire Protection,2025-05-21,556.17,0.0,paid,N/A,GoFleet Corporation
INV-061267,Zen Bus Lines Ltd.,2025-05-21,328.89,0.0,paid,N/A,GoFleet Corporation
INV-061266,Koda Resources,2025-05-20,360.0,360.0,draft,N/A,GoFleet Corporation
INV-061265,Mara Lumber,2025-05-20,115.32,115.32,sent,N/A,GoFleet Corporation
